name,price,rating,low_price,trend,img_source,vendor,category,link,
Veste de costume,48,4.8,48,-40,img/products/product0.jpg,zalando,Vetements,https://www.zalando.fr/pier-one-blazer-dark-blue-pi922ba19-k11.html,
Tronconneuse a essence scie 20 puissance 62cc -Greencut,79,4.3,75,3,img/products/product1.jpg,ebay,Tools,https://www.ebay.fr/itm/Tronconneuse-a-essence-scie-20-puissance-62cc-Greencut/361876941810?_trkparms=pageci%253Ac4f738f5-fc57-11e7-b13d-74dbd1806d37%257Cparentrq%253A099109111610ab6b36d63221ffec5552%257Ciid%253A1,
Proscenic 790T Aspirateur Robot Puissant,219.99,4.9,219.99,-6,img/products/product2.jpg,ebay,Home,https://www.ebay.fr/itm/Proscenic-790T-Aspirateur-Robot-Puissant-Telecommande-Classe-energetique-A/142593633214?_trkparms=pageci%253Ac4f738f5-fc57-11e7-b13d-74dbd1806d37%257Cparentrq%253A099109111610ab6b36d63221ffec5552%257Ciid%253A1,
Liseuse Kindle Paperwhite,129.99,4.3,120,2,img/products/product3.jpg,/I/61rPixjn5cL._SX425_.jpg,Books and Music,https://www.amazon.fr/dp/B00QJDO0QC/ref=gw_Eink_Muscat_PMP17?pf_rd_p=a5e26dbb-2f1a-4271-9f78-085e52badb2f&pf_rd_r=PJS3GPPMWX4V1T55WAJK,https://www.amazon.fr/dp/B00QJDO0QC/ref=gw_Eink_Muscat_PMP17?pf_rd_p=a5e26dbb-2f1a-4271-9f78-085e52badb2f&pf_rd_r=VPD1XWQVHWBRPHBB8AS9
SAC A DOS TREKKING SYMBIUM HOMME 70+10 LITRES BLEU FONCE QUECHUA,99.99,3.5,99.99,-29,img/products/product4.jpg,decathlon,Bags,https://www.decathlon.fr/sac-a-dos-sym-h-7010l-blu-id_8300991.html,
FARLOV,749,3.1,749,0,img/products/product5.jpg,ikea,Home,http://www.ikea.com/fr/fr/catalog/products/S99192651/?icid=fr|20180109|hpb4|farlov,
casio A168WA-1YES,22.31,4.1,22.31,-10,img/products/product6.jpg,amazon,Accessories,https://www.amazon.fr/Casio-Collection-Digitale-Bracelet-Inoxydable/dp/B000LAKYW8/ref=lp_14232061031_1_7?s=apparel&ie=UTF8&qid=1516285233&sr=1-7,
VESTE SKI HOMME SLIDE 300 WARM GRISE WED'ZE,69.99,4.5,60,5,img/products/product7.jpg,decathlon,Vetements,https://www.decathlon.fr/slide-300-warm-homme-grise-id_8371429.html,
VTT ROCKRIDER 900 GRIS/LIME 27'' 5 POUCES B'TWIN,799.99,4.2,799.99,-15,img/products/product8.jpg,decathlon,Sports,https://www.decathlon.fr/vtt-rockrider-900-275-id_8366620.html,
CHAUSSURE DE BASKETBALL ADULTE CONFIRME/EXPERT HOMME/FEMME SHIELD 500 GRIS NOIR TARMAK,45,4.5,39.99,3,img/products/product9.jpg,decathlon,Shoes,https://www.decathlon.fr/shield-500-adulte-h-f-gris-id_8392890.html,
Nappy the teddy bear,74.99,5,70,9,img/products/product10.jpg,amazon,Toys,https://www.amazon.fr/VERCART-Nounours-Peluches-dAnniversaire-Decoratif/dp/B01MA58EHS/ref=sr_1_4?s=toys&ie=UTF8&qid=1516285486&sr=1-4&keywords=teddy+bear,
Man of the Woods,15.99,2.3,10.99,30,img/products/product11.jpg,fnac,Books and Music,https://musique.fnac.com/a11293270/Justin-Timberlake-Man-of-the-Woods-CD-album#int=S:<b>Pr%C3%A9commandes du moment <-b>Justin Timberlake, Franz Ferdinand... |Musique|NonApplicable|10215546|BL4|L1
Asus Vivobook S14 S406UA-BM013T,749,3.6,730,5,img/products/product12.jpg,amazon,Hi-tech,https://www.amazon.fr/gp/product/B075QJCJW1/ref=s9_acsd_top_hd_bw_bT5jAl_c_x_1_w?pf_rd_m=A1X6FK5RDHNB96&pf_rd_s=merchandised-search-4&pf_rd_r=1Y9HMBMFF2RMQ2V5SW5K&pf_rd_t=101&pf_rd_p=96c3c7c4-1dfb-50e2-86ef-d5e6476062fa&pf_rd_i=429879031,
Samsung Galaxy S8+ Plus G955FD Duos LTE 64GB Midnight Black meilleur,539.99,4.3,519.99,-5,img/products/product13.jpg,ebay,Hi-tech,https://www.ebay.fr/itm/Samsung-Galaxy-S8-Plus-G955FD-Duos-LTE-64GB-Midnight-Black-meilleur/252895889482?_trkparms=pageci%253A7c7f1c9d-fc5e-11e7-b8e9-74dbd1808ff7%257Cparentrq%253A09bd0e371610aadc35951181ffdafef0%257Ciid%253A1,
